                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.0873,                 2.7395,                 1.8103,                0.61815,                 0.2374,                0.26102,                0.17128,                 1.1653,                  2.129,                 1.9026,             1.4814e-05,             1.4814e-05,             1.4814e-05
                     59,                 1.0817,                    2.7,                 1.8009,                0.60568,                0.22064,                0.25255,                0.16571,                 1.1321,                 2.0882,                  1.868,             1.4477e-05,             1.4477e-05,             1.4477e-05
                     60,                 1.0591,                 2.6628,                 1.7821,                0.62674,                0.22835,                0.25846,                0.16793,                 1.1773,                 2.1164,                 1.8921,             1.4141e-05,             1.4141e-05,             1.4141e-05
                     61,                 1.0723,                 2.7019,                  1.784,                0.62416,                0.24139,                0.27551,                0.17787,                  1.162,                  2.066,                 1.8593,             1.3804e-05,             1.3804e-05,             1.3804e-05
                     62,                 1.0655,                 2.6751,                 1.7877,                0.62064,                0.25518,                0.29186,                0.19024,                  1.169,                 2.0362,                 1.8679,             1.3467e-05,             1.3467e-05,             1.3467e-05
                     63,                 1.0481,                 2.6218,                 1.7693,                0.73938,                0.22984,                0.28659,                0.18684,                 1.1332,                  2.014,                 1.8421,             1.3131e-05,             1.3131e-05,             1.3131e-05
                     64,                  1.056,                  2.668,                 1.7754,                0.61221,                0.27403,                0.29177,                0.18832,                 1.1656,                 2.0261,                 1.8731,             1.2794e-05,             1.2794e-05,             1.2794e-05
                     65,                 1.0361,                 2.6177,                 1.7628,                0.67226,                0.24254,                0.30044,                0.19836,                 1.1215,                  1.988,                 1.8362,             1.2458e-05,             1.2458e-05,             1.2458e-05
                     66,                 1.0414,                 2.5888,                 1.7531,                0.62494,                0.27819,                0.31289,                0.20585,                 1.1223,                 1.9752,                  1.815,             1.2121e-05,             1.2121e-05,             1.2121e-05
                     67,                 1.0397,                 2.6037,                 1.7497,                 0.6086,                0.27659,                0.30945,                0.20603,                  1.105,                 1.9687,                 1.8066,             1.1784e-05,             1.1784e-05,             1.1784e-05
                     68,                 1.0237,                  2.567,                 1.7431,                0.61305,                0.27809,                0.30344,                 0.2049,                 1.0944,                 1.9288,                 1.7866,             1.1448e-05,             1.1448e-05,             1.1448e-05
                     69,                  1.015,                 2.5118,                 1.7354,                0.63981,                0.26443,                0.32019,                0.21229,                  1.109,                  1.921,                 1.8042,             1.1111e-05,             1.1111e-05,             1.1111e-05
                     70,                 1.0195,                 2.5594,                 1.7408,                0.63201,                 0.2663,                0.32335,                 0.2183,                 1.1021,                 1.9027,                 1.7955,             1.0775e-05,             1.0775e-05,             1.0775e-05
                     71,                 1.0252,                 2.5123,                 1.7313,                0.64571,                0.27354,                 0.3287,                0.21904,                 1.1025,                 1.8982,                 1.7992,             1.0438e-05,             1.0438e-05,             1.0438e-05
                     72,                 1.0163,                 2.5216,                 1.7272,                0.64178,                0.27831,                 0.3312,                0.22083,                 1.0839,                 1.8827,                 1.7865,             1.0101e-05,             1.0101e-05,             1.0101e-05
                     73,                0.99108,                 2.5297,                 1.7132,                0.65365,                0.27815,                0.33144,                0.21961,                 1.0919,                 1.8662,                 1.7825,             9.7648e-06,             9.7648e-06,             9.7648e-06
                     74,                0.97515,                 2.4682,                  1.693,                0.64897,                0.28384,                0.34773,                0.23332,                 1.0755,                 1.8445,                 1.7668,             9.4282e-06,             9.4282e-06,             9.4282e-06
                     75,                0.98764,                 2.4884,                 1.7128,                0.59905,                0.30067,                0.33549,                0.22664,                  1.073,                 1.8817,                 1.7506,             9.0916e-06,             9.0916e-06,             9.0916e-06
                     76,                  1.011,                 2.5038,                 1.7183,                0.65112,                0.29912,                0.35153,                 0.2391,                 1.0712,                 1.8321,                 1.7483,              8.755e-06,              8.755e-06,              8.755e-06
                     77,                0.98048,                 2.4593,                 1.7003,                0.63634,                0.29963,                0.36216,                0.24555,                 1.0566,                 1.8221,                 1.7406,             8.4184e-06,             8.4184e-06,             8.4184e-06
                     78,                 1.0008,                 2.4598,                 1.7102,                0.64687,                0.31025,                0.36689,                0.25119,                 1.0474,                 1.7997,                 1.7238,             8.0818e-06,             8.0818e-06,             8.0818e-06
                     79,                0.99375,                 2.4579,                 1.7141,                0.62678,                0.31259,                0.37015,                 0.2541,                 1.0487,                 1.7966,                 1.7321,             7.7452e-06,             7.7452e-06,             7.7452e-06
                     80,                0.98636,                 2.4413,                 1.6811,                0.65532,                0.31204,                0.37735,                0.25976,                 1.0448,                 1.7831,                 1.7246,             7.4086e-06,             7.4086e-06,             7.4086e-06
                     81,                0.97672,                 2.4346,                  1.687,                0.63526,                0.32345,                0.37614,                0.25941,                 1.0462,                 1.7781,                 1.7269,              7.072e-06,              7.072e-06,              7.072e-06
                     82,                0.99066,                 2.4041,                 1.6934,                0.62601,                0.32469,                0.38843,                0.26317,                  1.042,                 1.7671,                 1.7164,             6.7354e-06,             6.7354e-06,             6.7354e-06
                     83,                0.98316,                 2.4459,                  1.702,                0.66545,                0.31813,                0.37717,                 0.2571,                 1.0549,                 1.7736,                 1.7424,             6.3988e-06,             6.3988e-06,             6.3988e-06
                     84,                0.97738,                 2.4531,                  1.694,                0.62388,                0.31464,                0.38452,                0.26464,                 1.0299,                 1.7391,                   1.71,             6.0622e-06,             6.0622e-06,             6.0622e-06
                     85,                0.96517,                 2.3795,                 1.6627,                0.64981,                0.33003,                0.38658,                0.26783,                  1.036,                 1.7383,                 1.7154,             5.7256e-06,             5.7256e-06,             5.7256e-06
                     86,                0.95679,                 2.4234,                 1.6776,                0.61652,                0.33356,                0.39226,                0.27047,                 1.0374,                 1.7252,                 1.7118,              5.389e-06,              5.389e-06,              5.389e-06
                     87,                0.95406,                 2.4405,                   1.67,                 0.6649,                0.32852,                0.39621,                  0.274,                 1.0324,                 1.7313,                 1.7062,             5.0524e-06,             5.0524e-06,             5.0524e-06
                     88,                0.95774,                 2.3775,                 1.6716,                0.62658,                0.35139,                 0.4071,                0.28365,                 1.0196,                 1.7172,                 1.7004,             4.7158e-06,             4.7158e-06,             4.7158e-06
                     89,                0.96965,                 2.4092,                  1.673,                0.60696,                0.34992,                0.39798,                0.27675,                 1.0286,                 1.7183,                 1.7117,             4.3792e-06,             4.3792e-06,             4.3792e-06
                     90,                0.97222,                  2.372,                 1.6765,                0.63152,                0.34549,                0.41174,                0.28626,                 1.0236,                 1.7144,                 1.7029,             4.0426e-06,             4.0426e-06,             4.0426e-06
                     91,                 1.1045,                 2.6366,                 1.8095,                0.63324,                0.32694,                0.37478,                0.25647,                  1.051,                 1.8014,                 1.7304,              3.706e-06,              3.706e-06,              3.706e-06
                     92,                 1.0166,                 2.4562,                 1.7547,                0.61084,                0.33327,                0.38255,                0.26477,                  1.045,                 1.7347,                 1.7311,             3.3694e-06,             3.3694e-06,             3.3694e-06
                     93,                0.99439,                 2.4233,                 1.7409,                0.59078,                0.34785,                0.39668,                0.27616,                 1.0174,                 1.6953,                 1.6924,             3.0328e-06,             3.0328e-06,             3.0328e-06
                     94,                0.98929,                 2.3677,                 1.7235,                0.60723,                 0.3647,                 0.4073,                0.28681,                 1.0031,                 1.6638,                 1.6747,             2.6962e-06,             2.6962e-06,             2.6962e-06
                     95,                0.98149,                 2.3597,                 1.7204,                0.61273,                0.36614,                0.41637,                0.29305,                 1.0004,                 1.6481,                 1.6674,             2.3596e-06,             2.3596e-06,             2.3596e-06
                     96,                0.98093,                  2.354,                 1.6983,                0.61669,                0.37099,                0.42141,                0.29874,                0.99594,                   1.64,                  1.659,              2.023e-06,              2.023e-06,              2.023e-06
                     97,                0.97251,                 2.3367,                 1.7107,                0.65849,                0.35641,                0.42689,                 0.3016,                0.99567,                 1.6341,                 1.6624,             1.6864e-06,             1.6864e-06,             1.6864e-06
                     98,                0.95601,                 2.2925,                 1.6853,                0.62213,                0.38666,                0.43813,                0.31235,                0.97929,                 1.6164,                   1.64,             1.3498e-06,             1.3498e-06,             1.3498e-06
                     99,                0.95941,                 2.3171,                  1.707,                0.62534,                0.38723,                0.43909,                0.31155,                0.97915,                 1.6146,                 1.6441,             1.0132e-06,             1.0132e-06,             1.0132e-06
                    100,                0.95688,                 2.2782,                 1.6804,                0.63129,                0.37531,                0.44118,                0.31436,                0.98176,                 1.6089,                 1.6467,              6.766e-07,              6.766e-07,              6.766e-07
