                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.2595,                0.90278,                 1.5599,                0.78933,                0.71211,                0.77026,                0.46632,                 1.2918,                0.88826,                 1.4633,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.2146,                0.90204,                 1.5887,                0.74173,                0.71553,                0.76863,                0.44812,                 1.3328,                0.85299,                 1.5032,             0.00079233,             0.00079233,             0.00079233
                     55,                  1.225,                0.93052,                 1.6193,                0.77929,                 0.7155,                0.77892,                0.44853,                 1.3959,                0.86511,                 1.5476,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.2199,                0.90791,                 1.5964,                0.81353,                0.71471,                0.81056,                 0.4608,                 1.3828,                0.85144,                 1.5478,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.1799,                0.87971,                 1.5679,                0.81784,                0.74524,                0.83449,                0.48606,                 1.2453,                0.79586,                 1.4406,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.2188,                0.87117,                 1.5739,                0.77713,                0.75711,                0.80211,                0.46066,                 1.2911,                0.92432,                 1.4845,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.1709,                0.84473,                 1.4918,                 0.8621,                0.73556,                0.82625,                0.48666,                 1.2374,                0.80008,                 1.4253,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.1694,                0.85706,                 1.5229,                0.81141,                0.65015,                0.76531,                 0.4757,                  1.164,                0.90556,                 1.4013,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.1622,                0.85087,                 1.5318,                0.76295,                0.75447,                0.80098,                0.48206,                 1.1888,                0.78427,                 1.4167,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.1746,                0.87127,                 1.5347,                0.77541,                 0.7571,                0.80363,                0.48736,                 1.1574,                0.80924,                 1.4098,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.1396,                0.80709,                 1.4634,                0.85095,                0.72017,                0.81616,                0.46056,                 1.3949,                0.84668,                 1.5262,              0.0006438,              0.0006438,              0.0006438
                     64,                  1.153,                 0.8221,                 1.4999,                0.81026,                0.76015,                0.80692,                0.48605,                   1.27,                0.79408,                 1.4842,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.1613,                0.85483,                 1.5243,                0.81045,                0.72699,                0.80792,                0.44492,                 1.3522,                0.82535,                 1.5037,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.1519,                0.82407,                 1.5058,                0.78448,                0.80203,                0.84449,                0.46993,                 1.3774,                0.80995,                 1.5238,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.1132,                0.79747,                 1.4636,                 0.8259,                0.75656,                0.81895,                0.48359,                 1.2666,                0.75896,                 1.4487,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.1298,                0.79785,                 1.4625,                0.78941,                0.78972,                0.82191,                 0.4747,                 1.3511,                0.80466,                 1.4957,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.1101,                0.78867,                 1.4688,                0.82985,                 0.7647,                0.83507,                0.49516,                  1.177,                0.74463,                 1.4137,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.0922,                0.76482,                 1.4543,                0.82953,                0.77794,                0.84097,                0.49422,                 1.3061,                0.78952,                 1.4731,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.0731,                0.76607,                 1.4825,                0.77562,                0.80655,                0.82731,                0.50575,                 1.1229,                0.76324,                 1.3727,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.0883,                 0.7779,                 1.4483,                0.87069,                0.74373,                0.83216,                 0.5011,                 1.1771,                0.80308,                 1.3985,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.0446,                0.74647,                 1.4146,                0.80281,                0.78537,                0.82071,                0.48354,                 1.2542,                0.78387,                 1.4452,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.0984,                  0.801,                  1.484,                0.81923,                0.78072,                0.83401,                0.51045,                 1.2265,                0.79846,                 1.4187,             0.00046226,             0.00046226,             0.00046226
                     75,                  1.082,                0.78411,                 1.4811,                0.89488,                0.74746,                0.84055,                0.50142,                 1.2605,                0.75366,                 1.4423,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.1054,                0.75334,                 1.4286,                0.84569,                0.73282,                0.83588,                0.48186,                 1.3335,                0.77393,                  1.484,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.0793,                 0.7494,                 1.4192,                0.85427,                0.77407,                0.84623,                0.47122,                 1.3666,                0.77723,                 1.5087,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.0661,                0.71415,                 1.3838,                0.82469,                0.83017,                0.86605,                0.49849,                 1.2374,                0.78101,                 1.4298,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.0661,                0.73276,                 1.4203,                0.80867,                0.82909,                0.84032,                0.49901,                 1.2131,                0.75036,                 1.4313,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.0607,                0.72822,                 1.4206,                0.80275,                0.77225,                0.82339,                0.49533,                 1.1616,                0.75634,                 1.3993,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.0487,                0.73782,                 1.4365,                0.80012,                0.79969,                0.84261,                0.49197,                  1.241,                0.76158,                 1.4468,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.0643,                0.74902,                 1.4174,                0.81942,                0.79678,                0.83938,                0.50069,                 1.1832,                0.79856,                 1.4007,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.0194,                0.70758,                  1.393,                0.85659,                 0.7486,                0.82491,                0.51641,                  1.102,                0.73806,                  1.353,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.0239,                0.71016,                 1.3954,                  0.869,                 0.7844,                0.84634,                0.51003,                 1.1732,                0.76121,                 1.3852,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.0123,                0.71049,                  1.396,                 0.8497,                0.76865,                0.82678,                0.49047,                 1.2235,                 0.7406,                  1.432,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.0235,                0.70597,                 1.3843,                0.83163,                0.79574,                 0.8527,                0.51845,                  1.154,                0.74443,                 1.3746,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.0312,                0.71898,                 1.4182,                0.85709,                 0.7836,                0.85576,                0.53203,                 1.0736,                0.71539,                 1.3401,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.0285,                0.70517,                 1.3946,                0.84199,                0.79944,                0.84844,                0.52531,                  1.075,                0.73572,                 1.3428,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.0207,                0.69914,                 1.3969,                0.80806,                0.81676,                0.85743,                 0.5214,                 1.1133,                0.70978,                 1.3567,             0.00021471,             0.00021471,             0.00021471
                     90,                0.96948,                0.65321,                 1.3542,                0.85091,                0.75597,                0.86727,                0.53101,                 1.1312,                0.70418,                 1.3713,             0.00019821,             0.00019821,             0.00019821
                     91,                0.94463,                 0.6685,                  1.358,                0.80947,                0.81876,                0.85199,                0.51657,                 1.1784,                0.68725,                 1.4131,              0.0001817,              0.0001817,              0.0001817
                     92,                0.90502,                0.61212,                 1.3081,                0.86884,                 0.8182,                0.85626,                0.51273,                 1.1329,                0.73417,                 1.3737,              0.0001652,              0.0001652,              0.0001652
                     93,                0.91299,                0.61994,                  1.343,                0.86566,                0.80511,                0.85008,                0.52365,                 1.0973,                 0.7139,                 1.3511,              0.0001487,              0.0001487,              0.0001487
                     94,                0.91954,                0.62756,                 1.3439,                0.87588,                0.78906,                0.85117,                0.51454,                 1.1466,                 0.7155,                  1.389,             0.00013219,             0.00013219,             0.00013219
                     95,                0.89444,                0.58688,                 1.2966,                0.82746,                0.84196,                 0.8545,                0.51818,                 1.1545,                 0.7045,                 1.3872,             0.00011569,             0.00011569,             0.00011569
                     96,                0.87918,                0.58029,                 1.3007,                0.83176,                0.84536,                0.85548,                 0.5283,                 1.1103,                0.69811,                 1.3609,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.85738,                0.56544,                 1.2561,                0.87344,                0.81763,                0.85668,                0.53866,                 1.1137,                0.70195,                 1.3638,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.86416,                0.57033,                 1.2914,                0.88144,                 0.7967,                0.86276,                0.53259,                 1.1317,                0.69959,                 1.3655,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.86112,                0.57071,                 1.2897,                0.79895,                0.85523,                 0.8629,                0.52425,                 1.1448,                0.70624,                 1.3772,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.85495,                0.58185,                 1.2821,                0.85017,                0.83317,                0.85624,                 0.5349,                  1.085,                0.69615,                 1.3444,             3.3173e-05,             3.3173e-05,             3.3173e-05
