                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 2.0333,                 1.9774,                 2.1053,                0.28446,                0.39665,                0.28374,                0.10565,                 2.1668,                 2.0749,                 2.4037,             8.9402e-05,             8.9402e-05,             8.9402e-05
                     66,                 2.0389,                 1.9684,                 2.1026,                0.29378,                0.39509,                0.27991,                0.10998,                 2.1871,                  2.054,                 2.3935,             8.6986e-05,             8.6986e-05,             8.6986e-05
                     67,                 2.0253,                 1.9592,                  2.092,                0.26593,                0.41018,                 0.2788,                0.11118,                 2.1763,                  2.064,                 2.4061,              8.457e-05,              8.457e-05,              8.457e-05
                     68,                 2.0269,                 1.9528,                 2.0892,                0.28996,                0.40979,                0.29548,                0.11589,                 2.1695,                 2.0408,                 2.3858,             8.2155e-05,             8.2155e-05,             8.2155e-05
                     69,                 2.0235,                 1.9439,                 2.0891,                 0.2638,                0.39269,                 0.2873,                0.10701,                 2.1742,                 2.0713,                 2.3898,             7.9739e-05,             7.9739e-05,             7.9739e-05
                     70,                 2.0246,                 1.9335,                 2.0806,                0.25901,                 0.4206,                0.29715,                0.11175,                 2.1633,                  2.045,                 2.4016,             7.7324e-05,             7.7324e-05,             7.7324e-05
                     71,                 2.0174,                 1.9434,                 2.0791,                0.23504,                0.42232,                0.29258,                0.11397,                 2.1684,                 2.0577,                 2.3901,             7.4908e-05,             7.4908e-05,             7.4908e-05
                     72,                 2.0051,                 1.9416,                 2.0749,                0.30628,                0.40757,                0.30014,                0.11435,                 2.1705,                 2.0503,                  2.387,             7.2492e-05,             7.2492e-05,             7.2492e-05
                     73,                 2.0071,                 1.9348,                 2.0665,                0.31375,                0.38815,                 0.2935,                0.10992,                  2.161,                 2.0244,                 2.3795,             7.0077e-05,             7.0077e-05,             7.0077e-05
                     74,                 1.9982,                  1.928,                 2.0728,                0.28909,                 0.3888,                0.29534,                0.10836,                 2.1477,                 2.0318,                 2.3849,             6.7661e-05,             6.7661e-05,             6.7661e-05
